"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","61493","Ошибка если отсутствует пароль","tests","2026-02-12","failed","2026-02-12","TestLoginCourier","test_login_courier","",""
"","2125","Создание заказа с разными вариантами цвета","tests","2026-02-12","passed","2026-02-12","TestCreateOrder","test_create_order","",""
"","1625","Ошибка если отсутствует логин","tests","2026-02-12","passed","2026-02-12","TestCreateCourier","test_create_courier","",""
"","1068","Ошибка если отсутствует пароль","tests","2026-02-12","passed","2026-02-12","TestCreateCourier","test_create_courier","",""
"","1752","Курьер может авторизоваться","tests","2026-02-12","passed","2026-02-12","TestLoginCourier","test_login_courier","",""
"","15365","Получение списка заказов","tests","2026-02-12","passed","2026-02-12","TestGetOrdersList","test_get_orders_list","",""
"","980","Ошибка при авторизации несуществующего пользователя","tests","2026-02-12","passed","2026-02-12","TestLoginCourier","test_login_courier","",""
"","1434","Курьера можно создать","tests","2026-02-12","passed","2026-02-12","TestCreateCourier","test_create_courier","",""
"","680","Создание заказа с разными вариантами цвета","tests","2026-02-12","passed","2026-02-12","TestCreateOrder","test_create_order","",""
"","2028","Ошибка при неверном логине","tests","2026-02-12","failed","2026-02-12","TestLoginCourier","test_login_courier","",""
"","722","Создание заказа с разными вариантами цвета","tests","2026-02-12","passed","2026-02-12","TestCreateOrder","test_create_order","",""
"","1675","Нельзя создать двух одинаковых курьеров","tests","2026-02-12","failed","2026-02-12","TestCreateCourier","test_create_courier","",""
"","1056","Создание заказа с разными вариантами цвета","tests","2026-02-12","passed","2026-02-12","TestCreateOrder","test_create_order","",""
