"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1915","Ошибка при неправильном пароле","tests","2026-02-12","failed","2026-02-12","TestLoginCourier","test_login_courier","",""
"","4353","Нельзя создать двух одинаковых курьеров","tests","2026-02-12","failed","2026-02-12","TestCreateCourier","test_create_courier","",""
"","1478","Ошибка если отсутствует firstName","tests","2026-02-12","failed","2026-02-12","TestCreateCourier","test_create_courier","",""
"","60632","Для авторизации нужно передать все обязательные поля","tests","2026-02-12","failed","2026-02-12","TestLoginCourier","test_login_courier","",""
"","855","Создание заказа с разными вариантами цвета","tests","2026-02-12","passed","2026-02-12","TestCreateOrder","test_create_order","",""
"","738","Создание заказа с разными вариантами цвета","tests","2026-02-12","passed","2026-02-12","TestCreateOrder","test_create_order","",""
"","10014","Получение списка заказов","tests","2026-02-12","passed","2026-02-12","TestGetOrdersList","test_get_orders_list","",""
"","7340","Курьера можно создать","tests","2026-02-12","passed","2026-02-12","TestCreateCourier","test_create_courier","",""
"","2525","Ошибка если отсутствует пароль","tests","2026-02-12","passed","2026-02-12","TestCreateCourier","test_create_courier","",""
"","3396","Ошибка если отсутствует логин","tests","2026-02-12","passed","2026-02-12","TestLoginCourier","test_login_courier","",""
"","3080","Курьер может авторизоваться","tests","2026-02-12","passed","2026-02-12","TestLoginCourier","test_login_courier","",""
"","61126","Ошибка если отсутствует пароль","tests","2026-02-12","failed","2026-02-12","TestLoginCourier","test_login_courier","",""
"","1129","Создание заказа с разными вариантами цвета","tests","2026-02-12","passed","2026-02-12","TestCreateOrder","test_create_order","",""
"","1538","Ошибка при авторизации несуществующего пользователя","tests","2026-02-12","failed","2026-02-12","TestLoginCourier","test_login_courier","",""
"","2084","Для создания курьера нужно передать все обязательные поля","tests","2026-02-12","passed","2026-02-12","TestCreateCourier","test_create_courier","",""
"","3277","Ошибка при неправильном логине","tests","2026-02-12","failed","2026-02-12","TestLoginCourier","test_login_courier","",""
"","3183","Успешный запрос возвращает id","tests","2026-02-12","passed","2026-02-12","TestLoginCourier","test_login_courier","",""
"","2508","Если создать пользователя с существующим логином — возвращается ошибка","tests","2026-02-12","failed","2026-02-12","TestCreateCourier","test_create_courier","",""
"","660","Создание заказа с разными вариантами цвета","tests","2026-02-12","passed","2026-02-12","TestCreateOrder","test_create_order","",""
